dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1978-02-01,1322.0,1978-02-01,27.09,0.42,13648771.986035047,9.68585306687389e-05
1978-03-01,1306.9,1978-03-01,27.08,0.06,13672021.960843371,9.558937249683753e-05
1978-04-01,23898.920000000002,1978-04-01,27.14,-0.18,13697763.00438116,0.0017447316026971743
1978-05-01,201252.22,1978-05-01,27.11,-0.31,13722673.691675792,0.014665671174712848
1978-06-01,1349184.28,1978-06-01,26.98,-0.29,13748414.73521358,0.09813380713227667
1978-07-01,63816.76,1978-07-01,26.61,-0.36,13773325.422508216,0.004633358905156729
1978-08-01,633095.54,1978-08-01,26.27,-0.42,13799066.466046002,0.0458795920403598
1978-09-01,351133.07,1978-09-01,26.11,-0.42,13824807.50958379,0.025398767379334834
1978-11-01,65712.7,1978-11-01,26.37,-0.08,13875459.24041621,0.004735893699906748
1978-12-01,5763.05,1978-12-01,26.43,0.0,13900369.927710844,0.00041459687979318957
1979-01-01,1301650.1300000001,1979-01-01,26.5,0.03,13926110.97124863,0.09346831521645506
1979-02-01,137168.19,1979-02-01,26.75,0.07,13951852.01478642,0.009831539917039453
1979-03-01,175388.73,1979-03-01,27.22,0.2,13975101.989594745,0.012550085869182699
1979-04-01,20159145.56,1979-04-01,27.6,0.28,14000843.03313253,1.4398522654881603
1979-05-01,1249388.18,1979-05-01,27.66,0.23,14025753.720427165,0.08907814901814409
1979-06-01,949278.82,1979-06-01,27.32,0.05,14051494.763964953,0.06755714149603675
1979-07-01,145184178.99,1979-07-01,27.0,0.04,14076405.451259583,10.314009460206949
1979-08-01,41163.3,1979-08-01,26.86,0.17,14102146.494797371,0.002918938617974658
1979-09-01,48048187.77,1979-09-01,26.86,0.33,14127887.53833516,3.4009463650969884
1979-10-01,453178.22,1979-10-01,26.94,0.45,14152798.225629792,0.03202039715222703
1979-11-01,58806.17,1979-11-01,26.98,0.52,14178539.26916758,0.004147547845628847
1979-12-01,8788.84,1979-12-01,27.06,0.64,14203449.956462212,0.0006187820583689458
1980-01-01,276723.0,1980-01-01,27.06,0.59,14229191.0,0.0194475567866086
1980-02-01,3383.3,1980-02-01,27.13,0.46,14252590.09362168,0.0002373814147306527
1980-03-01,134076.67,1980-03-01,27.35,0.34,14274479.568300027,0.009392753645306274
1980-04-01,112224.57,1980-04-01,27.7,0.38,14297878.661921708,0.007849036395789112
1980-05-01,390032.36,1980-05-01,27.9,0.48,14320522.946071722,0.027235902031565836
1980-06-01,49311.76,1980-06-01,27.73,0.46,14343922.039693402,0.0034378156729757314
